name,sku,image_url,base_price,harga_normal_non_member,harga_normal_member,harga_promo_flash_sale_new_customer,harga_special_non_member,harga_special_member,promo_label,special_label,unit,treatment_sessions,description
3-in-1 Dermaglow,TRT-3-IN-1-DERMAGLOW,https://files.cekat.ai/3-in-1_Dermaglow_-_flash_sale_J8TivM.png,2999000,2999000,,899000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
Luminous DNA Glow,TRT-LUMINOUS-DNA-GLOW,https://files.cekat.ai/Luminous_DNA_Glow_-_Flash_Sale_TYq8c7.png,2698000,2698000,,1299000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
Rejuran Eye,TRT-REJURAN-EYE,https://files.cekat.ai/Rejuran_Eye_-_flash_sale_fKCtAo.png,6198000,6198000,5998000,3099000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
Rejuran Healer,TRT-REJURAN-HEALER,https://files.cekat.ai/Rejuran_Healer_-_flash_sale_ru8IHF.png,6499000,6499000,6199000,3599000,,,Harga Promo Flash Sale New Customer April(Khusus Customer Baru),,,,
Exosome Face,TRT-EXOSOME-FACE,https://files.cekat.ai/Exosome_Face_-_flash_sale_xX0GQl.png,8398000,8398000,8198000,4199000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
Xela Rederm,TRT-XELA-REDERM,https://files.cekat.ai/Xelarederm_-_Flash_Sale_hjDGd0.png,8598000,8598000,8298000,4399000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
Hair Trial Package,TRT-HAIR-TRIAL-PACKAGE,https://files.cekat.ai/Trial_Package_lTTki5.png,379000,379000,,199000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
Scalp Facial Lite,TRT-SCALP-FACIAL-LITE,https://files.cekat.ai/Scalp_Facial_Lite_RSqoDM.png,699000,699000,,249000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
Brow Grow,TRT-BROW-GROW,https://files.cekat.ai/Brow_Grow_-_Flash_sale_0cIp9Y.png,899000,899000,899000,449000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
Express Hair Therapy,TRT-EXPRESS-HAIR-THERAPY,https://files.cekat.ai/Express_Hair_Therapy_-_Flash_Sale_YZVXFp.png,699000,699000,599000,299000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
Onsen Spa Lite,TRT-ONSEN-SPA-LITE,https://files.cekat.ai/Onsen_Spa_Lite_-_flash_sale_BBH2fC.png,1000000,1000000,,325000,,,Harga Promo Flash Sale New Customer April (Khusus Customer Baru),,,,
